2030,Autumn Weekday,Autumn Weekend,Winter Weekday,Winter Weekend,Spring Weekday,Spring Weekend,Summer Weekday,Summer Weekend,Peak Day
0:00:00,2,2,2,2,2,2,2,2,0
1:00:00,1,2,2,2,1,2,1,2,3
2:00:00,1,1,1,1,1,1,1,1,1
3:00:00,1,1,1,1,1,1,1,1,1
4:00:00,1,1,1,1,1,1,1,1,0
5:00:00,1,1,1,1,1,1,1,1,1
6:00:00,2,2,3,3,3,3,3,3,5
7:00:00,5,5,7,7,6,4,4,4,13
8:00:00,10,10,14,14,8,7,7,6,29
9:00:00,13,13,20,18,12,10,8,9,39
10:00:00,15,15,23,22,14,14,10,9,37
11:00:00,16,16,28,27,17,16,11,11,33
12:00:00,16,16,26,28,17,17,11,10,34
13:00:00,15,14,24,24,16,18,10,10,40
14:00:00,13,13,22,21,14,15,10,9,28
15:00:00,11,10,17,17,13,12,9,9,18
16:00:00,9,8,13,13,11,10,8,9,22
17:00:00,7,6,9,8,9,9,7,7,14
18:00:00,5,4,6,4,7,5,5,5,7
19:00:00,4,3,4,4,5,4,4,4,7
20:00:00,3,2,4,3,3,3,3,2,6
21:00:00,2,2,3,2,2,2,3,2,6
22:00:00,2,2,3,2,2,2,2,2,5
23:00:00,2,1,3,2,2,2,2,1,4
